"","Company","Date200506","GWP200506","RE200506","NWP200506","GIC200506","NRR200506","RR200506","NIC200506","UWE200506","UWR200506","II200506","OI200506","NPAT200506","Date200512","GWP200512","RE200512","NWP200512","GIC200512","NRR200512","RR200512","NIC200512","UWE200512","UWR200512","II200512","OI200512","NPAT200512","Date200606","GWP200606","RE200606","NWP200606","GIC200606","NRR200606","RR200606","NIC200606","UWE200606","UWR200606","II200606","OI200606","NPAT200606","Date200612","GWP200612","RE200612","NWP200612","GIC200612","NRR200612","RR200612","NIC200612","UWE200612","UWR200612","II200612","OI200612","NPAT200612","Date200706","GWP200706","RE200706","NWP200706","GIC200706","NRR200706","RR200706","NIC200706","UWE200706","UWR200706","II200706","OI200706","NPAT200706","Date200712","GWP200712","RE200712","NWP200712","GIC200712","NRR200712","RR200712","NIC200712","UWE200712","UWR200712","II200712","OI200712","NPAT200712","Date200806","GWP200806","RE200806","NWP200806","GIC200806","NRR200806","RR200806","NIC200806","UWE200806","UWR200806","II200806","OI200806","NPAT200806","Date200812","GWP200812","RE200812","NWP200812","GIC200812","NRR200812","RR200812","NIC200812","UWE200812","UWR200812","II200812","OI200812","NPAT200812","Date200906","GWP200906","RE200906","NWP200906","GIC200906","NRR200906","RR200906","NIC200906","UWE200906","UWR200906","II200906","OI200906","NPAT200906","Date200912","GWP200912","RE200912","NWP200912","GIC200912","NRR200912","RR200912","NIC200912","UWE200912","UWR200912","II200912","OI200912","NPAT200912","Date201006","GWP201006","RE201006","NWP201006","GIC201006","NRR201006","RR201006","NIC201006","UWE201006","UWR201006","II201006","OI201006","NPAT201006"
"112","NZI AUS","30 Jun",8,-5,13,71856,24451,5654,41751,-2,-41736,29302,3439,-8995,"30 Jun",8,-5,13,71856,24451,5654,41751,-2,-41736,29302,3439,-8995,"30 Jun",77,0,77,-16630,4636,3616,-24883,-466,25425,18463,-13489,30399,"30 Jun",77,0,77,-16630,4636,3616,-24883,-466,25425,18463,-13489,30399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","OPG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",120367,3853,116514,66045,674,122,65249,4866,46399,4687,-25353,25733
"114","OPTUS","31 Mar",45069,0,45069,38055,7138,0,30917,3755,10397,1196,-744,10849,"31 Mar",45069,0,45069,38055,7138,0,30917,3755,10397,1196,-744,10849,"31 Mar",42357,0,42357,38176,6917,0,31259,3417,7681,1050,-3117,5614,"31 Mar",42357,0,42357,38176,6917,0,31259,3417,7681,1050,-3117,5614,"31 Mar",39547,0,39547,34244,6646,0,27598,3160,8789,1287,-3596,6480,"31 Mar",39547,0,39547,34244,6646,0,27598,3160,8789,1287,-3596,6480,"31 Mar",38488,0,38488,30731,5981,0,24750,3004,10734,1822,-4192,8364,"31 Mar",38488,0,38488,30731,5981,0,24750,3004,10734,1822,-4192,8364,"31 Mar",39769,0,39769,40014,6754,0,33260,3189,3320,1813,-2440,2693,"31 Mar",39769,0,39769,40014,6754,0,33260,3189,3320,1813,-2440,2693,"31 Mar",53802,0,53802,56609,8676,0,47933,4181,1688,847,-1127,1408
"115","OVOID","30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","PACIFIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",3711,99,3612,1661,6,0,1655,1197,760,-2,-237,521,"30 Jun",3711,99,3612,1661,6,0,1655,1197,760,-2,-237,521,"30 Jun",6985,705,6280,2331,0,0,2331,2274,1675,513,-1731,457
"117","PIA","30 Jun",0,0,0,-1166,0,0,-1166,0,1166,3083,-572,3677,"30 Jun",0,0,0,-1166,0,0,-1166,0,1166,3083,-572,3677,"30 Jun",0,0,0,-2183,0,-2093,-90,0,90,3031,-1495,1626,"30 Jun",0,0,0,-2183,0,-2093,-90,0,90,3031,-1495,1626,"30 Jun",0,0,0,-364,0,1446,-1810,0,1810,3102,-2250,2662,"30 Jun",0,0,0,-364,0,1446,-1810,0,1810,3102,-2250,2662,"30 Jun",0,0,0,2557,0,1312,1245,0,-1245,1727,-912,-430,"30 Jun",0,0,0,2557,0,1312,1245,0,-1245,1727,-912,-430,"30 Jun",0,-666,666,-9030,0,-6334,-2696,0,3362,1561,-2212,2711,"30 Jun",0,-666,666,-9030,0,-6334,-2696,0,3362,1561,-2212,2711,"30 Jun",0,0,0,-4092,2799,-778,-6113,0,6113,1356,-2929,4540
"118","PIICA","30 Jun",57417,11495,45922,-3097,0,-29231,26134,2145,17643,11529,-16334,12838,"30 Jun",57417,11495,45922,-3097,0,-29231,26134,2145,17643,11529,-16334,12838,"30 Jun",59995,9395,50600,26477,1200,-10817,36094,2815,11691,6203,-14575,3319,"30 Jun",59995,9395,50600,21867,1900,-11373,31340,2815,16445,6203,-16001,6647,"30 Jun",63168,3039,60129,30584,2100,-1523,30007,3090,27032,10123,-25551,11604,"30 Jun",63168,3039,60129,30584,2100,-1523,30007,3090,27032,10123,-25551,11604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","PLMI","31 Dec",3105,2795,310,-5810,-476,-5127,-207,-1195,1712,532,-935,1309,"31 Dec",5111,4600,511,414,-8,35,387,-1170,1294,596,-874,1016,"31 Dec",5111,4600,511,414,-8,35,387,-1170,1294,596,-874,1016,"31 Dec",5706,3414,2292,124,40,249,-165,-1008,3465,732,-1680,2517,"31 Dec",5706,3414,2292,124,40,249,-165,-1008,3465,732,-1680,2517,"31 Dec",6625,3975,2650,865,4,599,262,-927,3315,1044,-1858,2501,"31 Dec",6625,3975,2650,865,4,599,262,-927,3315,1044,-1858,2501,"31 Dec",1839,1103,736,1317,11,1013,293,-711,1154,1305,-1245,1214,"31 Dec",1839,1103,736,1317,11,1013,293,-711,1154,1305,-1245,1214,"31 Dec",4045,2427,1618,-63,-56,-50,43,-917,2492,586,-1370,1708,"31 Dec",4045,2427,1618,-63,-56,-50,43,-917,2492,586,-1370,1708
"120","PMI IND","31 Dec",1738,747,991,2156,1101,-1254,2309,-397,-921,12268,-4107,7240,"31 Dec",953,741,212,-36571,-2645,0,-33926,5,34133,10298,-14455,29976,"31 Dec",953,741,212,-36571,-2645,0,-33926,5,34133,10298,-14455,29976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","PMI MORT","31 Dec",213837,12216,201621,-103984,-5326,-6109,-92549,23732,270438,55314,-121435,204317,"31 Dec",204355,8952,195403,59315,996,-1118,59437,22702,113264,53916,-62608,104572,"31 Dec",204355,8952,195403,59315,996,-1118,59437,22702,113264,53916,-62608,104572,"31 Dec",232904,4279,228625,74819,8174,53,66592,17838,144195,42788,-81712,105271,"31 Dec",232904,4279,228625,74819,8174,53,66592,17838,144195,42788,-81712,105271,"31 Dec",252202,9156,243046,98178,-1680,12,99846,8810,134390,54110,-99829,88671,"31 Dec",252202,9156,243046,98178,-1680,12,99846,8810,134390,54110,-99829,88671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","POSEIDON","30 Jun",0,0,0,52,52,0,0,0,0,298,-204,94,"30 Jun",0,0,0,52,52,0,0,0,0,298,-204,94,"30 Jun",0,0,0,58,58,0,0,0,0,26,-111,-85,"30 Jun",0,0,0,58,58,0,0,0,0,26,-111,-85,"30 Jun",0,0,0,-4,-4,0,0,0,0,82,-131,-49,"30 Jun",0,0,0,-4,-4,0,0,0,0,82,-131,-49,"30 Jun",0,0,0,-50,-50,0,0,0,0,144,-121,23,"30 Jun",0,0,0,-50,-50,0,0,0,0,144,-121,23,"30 Jun",0,0,0,165,165,0,0,0,0,294,-138,156,"30 Jun",0,0,0,165,165,0,0,0,0,294,-138,156,"30 Jun",0,0,0,15,15,0,0,0,0,218,-123,95
"123","PROGDIRECT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",23,0,23,164,2,0,162,0,-139,95,-6933,-6977,"31 Dec",23,0,23,164,2,0,162,0,-139,95,-6933,-6977
"124","QBE AUS","31 Dec",1783882,309638,1474244,993050,23404,152215,817431,405764,251049,191995,-161515,281529,"31 Dec",2360372,351886,2008486,990506,15521,-32052,1007037,735832,265617,238875,-81159,423333,"31 Dec",2360372,351886,2008486,990506,15521,-32052,1007037,735832,265617,238875,-81159,423333,"31 Dec",2587315,414056,2173259,1333361,21423,188050,1123888,727723,321648,202146,-98282,425512,"31 Dec",2587315,414056,2173259,1333361,21423,188050,1123888,727723,321648,202146,-98282,425512,"31 Dec",2634452,404047,2230405,1404306,-30605,195920,1238991,724235,267179,235774,-124881,378072,"31 Dec",2634452,404047,2230405,1404306,-30605,195920,1238991,724235,267179,235774,-124881,378072,"31 Dec",2914477,456600,2457877,2077751,24555,276942,1776254,873657,-192034,120172,73682,1820,"31 Dec",2914477,456600,2457877,2077751,24555,276942,1776254,873657,-192034,120172,73682,1820,"31 Dec",3153527,519291,2634236,1775771,54479,109137,1612155,1003082,18999,247616,15641,282256,"31 Dec",3153527,519291,2634236,1775771,54479,109137,1612155,1003082,18999,247616,15641,282256
"125","QBE INT","31 Dec",282578,80577,202001,72441,0,1606,70835,37253,93913,24290,-76731,41472,"31 Dec",317946,82034,235912,95631,0,3558,92073,41342,102497,31555,-74797,59255,"31 Dec",317946,82034,235912,95631,0,3558,92073,41342,102497,31555,-74797,59255,"31 Dec",370961,138625,232336,127042,0,20553,106489,42907,82940,35389,-82206,36123,"31 Dec",370961,138625,232336,127042,0,20553,106489,42907,82940,35389,-82206,36123,"31 Dec",380237,177080,203157,129308,0,71408,57900,33978,111279,40715,-80005,71989,"31 Dec",380237,177080,203157,129308,0,71408,57900,33978,111279,40715,-80005,71989,"31 Dec",379257,153626,225631,237558,0,126743,110815,40730,74086,25165,-66483,32768,"31 Dec",379257,153626,225631,237558,0,126743,110815,40730,74086,25165,-66483,32768,"31 Dec",385660,167724,217936,153319,0,82300,71019,39980,106937,27883,-77676,57144,"31 Dec",385660,167724,217936,153319,0,82300,71019,39980,106937,27883,-77676,57144
"126","QBE LMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",165432,12435,152997,208494,-898,0,209392,4557,-60952,92187,-48190,-16955,"31 Dec",165432,12435,152997,208494,-898,0,209392,4557,-60952,92187,-48190,-16955,"31 Dec",231302,15275,216027,-14402,-7907,0,-6495,3753,218769,69613,-108039,180343,"31 Dec",231302,15275,216027,-14402,-7907,0,-6495,3753,218769,69613,-108039,180343
"127","RAA","30 Jun",64052,2974,61078,50393,8563,-45,41875,13164,6039,5304,-4424,6919,"30 Jun",64052,2974,61078,50393,8563,-45,41875,13164,6039,5304,-4424,6919,"30 Jun",70683,4990,65693,57588,9980,-153,47761,14088,3844,5183,-3838,5189,"30 Jun",70683,4990,65693,57588,9980,-153,47761,14088,3844,5183,-3838,5189,"30 Jun",76549,3735,72814,71870,10799,8899,52172,14697,5945,5581,-4507,7019,"30 Jun",76549,3735,72814,71870,10799,8899,52172,14697,5945,5581,-4507,7019,"30 Jun",83104,2927,80177,73723,14174,-220,59769,14861,5547,357,-3013,2891,"30 Jun",83104,2927,80177,73723,14174,-220,59769,14861,5547,357,-3013,2891,"30 Jun",97147,3822,93325,84716,12968,92,71656,16019,5650,2266,-3676,4240,"30 Jun",97147,3822,93325,84716,12968,92,71656,16019,5650,2266,-3676,4240,"30 Jun",108808,5249,103559,90478,15039,496,74943,17119,11497,3818,-6256,9059
"128","RAC","31 Dec",198726,8021,190705,125845,24390,405,101050,34124,55531,14145,-35001,34675,"31 Dec",202893,6692,196201,161800,29205,6619,125976,23631,46594,12921,-38394,21121,"31 Dec",202893,6692,196201,161800,29205,6619,125976,23631,46594,12921,-38394,21121,"31 Dec",208846,10859,197987,150282,22920,3532,123830,25829,48328,11605,-39114,20819,"30 Jun",208846,10859,197987,150282,22920,3532,123830,25829,48328,11605,-39114,20819,"30 Jun",226613,8494,218119,187143,29449,1019,156675,28300,33144,10798,-28293,15649,"30 Jun",233750,9033,224717,210826,33607,1278,175941,29726,19050,4264,-22555,759,"30 Jun",233750,9033,224717,210826,33607,1278,175941,29726,19050,4264,-22555,759,"30 Jun",258259,12021,246238,208106,31880,2865,173361,33424,39453,15026,-34987,19492,"30 Jun",258259,12021,246238,208106,31880,2865,173361,33424,39453,15026,-34987,19492,"30 Jun",275590,20232,255358,425125,69528,173889,181708,36149,37501,18890,-38258,18133
"129","RACQ","31 Dec",368623,24605,344018,328740,54729,11564,262447,54225,27346,51899,-37073,42172,"31 Dec",390570,29386,361184,338886,46343,35087,257456,58358,45370,52413,-44389,53394,"31 Dec",390570,29386,361184,338886,46343,35087,257456,58358,45370,52413,-44389,53394,"31 Dec",421838,23054,398784,301187,41614,33925,225648,59676,113460,48149,-67963,93646,"31 Dec",421838,23054,398784,301187,41614,33925,225648,59676,113460,48149,-67963,93646,"31 Dec",449832,30169,419663,346431,50011,16171,280249,66546,72868,39891,-53887,58872,"31 Dec",449832,30169,419663,346431,50011,16171,280249,66546,72868,39891,-53887,58872,"31 Dec",485336,31878,453458,584622,115443,35671,433508,69872,-49922,28842,-16249,-37329,"31 Dec",485336,31878,453458,584622,115443,35671,433508,69872,-49922,28842,-16249,-37329,"31 Dec",551231,51167,500064,389166,67013,7543,314610,69961,115493,24340,-65718,74115,"31 Dec",551231,51167,500064,389166,67013,7543,314610,69961,115493,24340,-65718,74115
"130","RACT","30 Jun",40659,1706,38953,34967,4170,1460,29337,8856,760,1666,-429,1997,"30 Jun",40659,1706,38953,34967,4170,1460,29337,8856,760,1666,-429,1997,"30 Jun",45250,3280,41970,37706,3540,157,34009,8530,-569,2382,-512,1301,"30 Jun",45250,3280,41970,37706,3540,157,34009,8530,-569,2382,-512,1301,"30 Jun",47529,2531,44998,38899,4986,902,33011,8940,3047,2906,-1757,4196,"30 Jun",47529,2531,44998,38899,4986,902,33011,8940,3047,2906,-1757,4196,"30 Jun",50521,2949,47572,42602,5207,1353,36042,9621,1909,795,-709,1995,"30 Jun",50521,2949,47572,42602,5207,1353,36042,9621,1909,795,-709,1995,"30 Jun",55480,3797,51683,45552,5950,349,39253,10412,2018,543,-712,1849,"30 Jun",55480,3797,51683,45552,5950,349,39253,10412,2018,543,-712,1849,"30 Jun",61061,4573,56488,48599,4839,1254,42506,11372,2610,2221,-1428,3403
"131","REALCOVER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",2150,735,1415,605,0,0,605,286,524,304,-943,-115,"30 Jun",2150,735,1415,605,0,0,605,286,524,304,-943,-115,"30 Jun",1817,497,1320,605,0,681,-76,358,1038,306,-1148,196
"132","RURAL","30 Jun",0,0,0,0,0,261,-261,0,261,111,-196,176,"30 Jun",0,0,0,0,0,261,-261,0,261,111,-196,176,"30 Jun",0,0,0,-124,0,0,-124,0,124,14,-781,-643,"30 Jun",0,0,0,-124,0,0,-124,0,124,14,-781,-643,"30 Jun",0,0,0,0,0,0,0,0,0,70,-31,39,"30 Jun",0,0,0,0,0,0,0,0,0,70,-31,39,"30 Jun",0,0,0,0,0,0,0,0,0,0,-2,-2,"30 Jun",0,0,0,0,0,0,0,0,0,0,-2,-2,"30 Jun",0,0,0,-1897,0,-548,-1349,0,1349,2,-19,1332,"30 Jun",0,0,0,-1897,0,-548,-1349,0,1349,2,-19,1332,"30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","SCOR","31 Dec",8455,5950,2505,-11583,0,1061,-12644,2769,12380,4576,-7132,9824,"31 Dec",12333,9153,3180,5169,0,-2785,7954,455,-5229,3615,-667,-2281,"31 Dec",12333,9153,3180,5169,0,-2785,7954,455,-5229,3615,-667,-2281,"31 Dec",18995,5725,13270,16651,0,455,16196,2666,-5592,3024,-494,-3062,"31 Dec",18995,5725,13270,16651,0,455,16196,2666,-5592,3024,-494,-3062,"31 Dec",23832,6389,17443,18190,0,6453,11737,3297,2409,4123,-5439,1093,"31 Dec",23832,6389,17443,18190,0,6453,11737,3297,2409,4123,-5439,1093,"31 Dec",55283,30168,25115,122373,0,83554,38819,2783,-16487,7924,-1390,-9953,"31 Dec",55283,30168,25115,122373,0,83554,38819,2783,-16487,7924,-1390,-9953,"31 Dec",79390,53055,26335,31595,0,17083,14512,4378,7445,4966,-2161,10250,"31 Dec",79390,53055,26335,31595,0,17083,14512,4378,7445,4966,-2161,10250
"134","SCROSS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",683,143,540,600,0,0,600,0,-60,147,-1449,-1362,"30 Jun",683,143,540,600,0,0,600,0,-60,147,-1449,-1362,"30 Jun",4601,250,4351,2454,0,0,2454,2156,-259,287,-609,-581
"135","SGIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Sep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Sep",71967,8661,63306,11034,0,0,11034,360,51912,52144,-31070,72986,"30 Sep",71967,8661,63306,11034,0,0,11034,360,51912,52144,-31070,72986,"30 Sep",74545,13532,61013,41480,0,0,41480,-47,19580,-12961,-2819,3800,"30 Sep",74545,13532,61013,41480,0,0,41480,-47,19580,-12961,-2819,3800,"30 Sep",80983,2786,78197,18626,1805,0,16821,102,61274,7647,-21122,47799,"30 Sep",80983,2786,78197,18626,1805,0,16821,102,61274,7647,-21122,47799
"136","SIRIUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31 Dec",3476,0,3476,2819,0,0,2819,1378,-721,304,-346,-763,"31 Dec",3476,0,3476,2819,0,0,2819,1378,-721,304,-346,-763
"137","SOMPO","31 Dec",12491,3292,9199,13172,2044,8610,2518,1031,5650,1087,-3251,3486,"31 Dec",12330,3761,8569,10969,609,6120,4240,1085,3244,1255,-3180,1319,"31 Dec",12330,3761,8569,10969,609,6120,4240,1085,3244,1255,-3180,1319,"31 Dec",11931,4855,7076,-3639,-854,-3187,402,1136,5538,1351,-2548,4341,"31 Dec",11931,4855,7076,-3639,-854,-3187,402,1136,5538,1351,-2548,4341,"31 Dec",10190,4068,6122,6467,2111,2518,1838,972,3312,1658,-2942,2028,"31 Dec",10190,4068,6122,6467,2111,2518,1838,972,3312,1658,-2942,2028,"31 Dec",10345,4075,6270,846,287,-800,1359,1310,3601,1885,-3170,2316,"31 Dec",10345,4075,6270,846,287,-800,1359,1310,3601,1885,-3170,2316,"31 Dec",9909,5091,4818,2942,-16,73,2885,1071,862,1092,-1860,94,"31 Dec",9909,5091,4818,2942,-16,73,2885,1071,862,1092,-1860,94
"138","SOVEREIGN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 Jun",8490,0,8490,5463,0,0,5463,1610,1417,294,-1006,705
"139","SPHERE DRA","31 Dec",1,0,1,-394,0,0,-394,0,395,380,-271,504,"31 Dec",0,0,0,-177,0,0,-177,0,177,314,-193,298,"31 Dec",0,0,0,-177,0,0,-177,0,177,314,-193,298,"31 Dec",1,0,1,290,0,-2,292,0,-291,338,-267,-220,"31 Dec",1,0,1,290,0,-2,292,0,-291,338,-267,-220,"31 Dec",0,0,0,12,0,0,12,0,-12,382,-252,118,"31 Dec",0,0,0,12,0,0,12,0,-12,382,-252,118,"31 Dec",0,0,0,80,0,0,80,0,-80,424,-561,-217,"31 Dec",0,0,0,80,0,0,80,0,-80,424,-561,-217,"31 Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
